房型,3晚,4晚,5晚
市景豪華客房,8250,10750,13250
市景精緻客房,8700,11350,14000
海景豪華客房,9900,12950,16000
海景和式雙人房,10350,13550,16750
市景精緻雙人房 (露營主題),10350,13550,16750
經典套房A,13200,17350,21500
經典套房B,13950,18350,22750
海景蜜月套房,15000,19750,24500
豪華套房,15300,20150,25000
