房型,3晚,4晚,5晚
市景豪華客房,16500,21500,26500
市景精緻客房,17400,22700,28000
海景豪華客房,19800,25900,32000
海景和式雙人房,20700,27100,33500
市景精緻雙人房 (露營主題),20700,27100,33500
經典套房A,26400,34700,43000
經典套房B,27900,36700,45500
海景蜜月套房,30000,39500,49000
豪華套房,30600,40300,50000
