房型,3晚,4晚,5晚
市景豪華客房,-,-,-
市景精緻客房,-,-,-
海景豪華客房,-,-,-
海景和式雙人房,24000,30400,36800
市景精緻雙人房 (露營主題),24000,30400,36800
經典套房A,-,-,-
經典套房B,-,-,-
海景蜜月套房,33300,42800,52300
豪華套房,33900,43600,53300
