房型,3晚,4晚,5晚
市景豪華客房,18700,23700,28700
市景精緻客房,19600,24900,30200
海景豪華客房,22000,28100,34200
海景和式雙人房,22900,29300,35700
市景精緻雙人房 (露營主題),22900,29300,35700
經典套房A,28600,36900,45200
經典套房B,30100,38900,47700
海景蜜月套房,32200,41700,51200
豪華套房,32800,42500,52200
