房型,3晚,4晚,5晚
市景豪華客房,17600,22600,27600
市景精緻客房,18500,23800,29100
海景豪華客房,20900,27000,33100
海景和式雙人房,21800,28200,34600
市景精緻雙人房 (露營主題),21800,28200,34600
經典套房A,27500,35800,44100
經典套房B,29000,37800,46600
海景蜜月套房,31100,40600,50100
豪華套房,31700,41400,51100
