房型,3晚,4晚,5晚
市景豪華客房,4675,5925,7175
市景精緻客房,4900,6225,7550
海景豪華客房,5500,7025,8550
海景和式雙人房,5725,7325,8925
市景精緻雙人房 (露營主題),5725,7325,8925
經典套房A,7150,9225,11300
經典套房B,7525,9725,11925
海景蜜月套房,8050,10425,12800
豪華套房,8200,10625,13050
