房型,3晚,4晚,5晚
市景豪華客房,5866,7533,9200
市景精緻客房,6166,7933,9700
海景豪華客房,6966,9000,11033
海景和式雙人房,7266,9400,11533
市景精緻雙人房 (露營主題),7266,9400,11533
經典套房A,9166,11933,14700
經典套房B,9666,12600,15533
海景蜜月套房,10366,13533,16700
豪華套房,10566,13800,17033
